pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
28,538,04590,0,0,348.28,0,348.28,137.69669,47957,0,47957,23851,0,23851,24106,0,24106,19172,0,19172,11676,0,11676,7496,0,7496,7381,0,7381,3686,0,3686,3695,0,3695,513,0,513,259,0,259,254,0,254
28,538,04591,0,0,320.35,0,320.35001,205.85297,65945,0,65945,33070,0,33070,32875,0,32875,21938,0,21938,14038,0,14038,7900,0,7900,12115,0,12115,6068,0,6068,6047,0,6047,2981,0,2981,1442,0,1442,1539,0,1539
28,538,04592,.19993496,0,186.98,15.52,202.5,303.72839,49208,12297,61505,24665,6194,30859,24543,6103,30646,19237,7820,27057,11641,4438,16079,7596,3382,10978,8464,1424,9888,4199,709,4908,4265,715,4980,2194,236,2430,1095,122,1217,1099,114,1213
28,538,04593,.23920909,0,246.51,12.79,259.29999,306.99576,60562,19042,79604,30756,9610,40366,29806,9432,39238,26695,11991,38686,16450,6848,23298,10245,5143,15388,9306,2028,11334,4671,935,5606,4635,1093,5728,4886,106,4992,2485,52,2537,2401,54,2455
28,538,04594,0,0,180.15,0,180.14999,223.71913,40303,0,40303,20386,0,20386,19917,0,19917,18581,0,18581,11434,0,11434,7147,0,7147,6866,0,6866,3414,0,3414,3452,0,3452,3617,0,3617,1871,0,1871,1746,0,1746
28,538,04595,.56163323,26671,174.21,27.4,201.61,538.27191,47572,60949,108521,24404,31501,55905,23168,29448,52616,22907,42713,65620,13759,24060,37819,9148,18653,27801,6650,6000,12650,3460,3066,6526,3190,2934,6124,8300,2304,10604,4049,1325,5374,4251,979,5230
28,538,04596,0,0,244.11,0,244.11,243.10762,59345,0,59345,30120,0,30120,29225,0,29225,25542,0,25542,15442,0,15442,10100,0,10100,12827,0,12827,6483,0,6483,6344,0,6344,5474,0,5474,2774,0,2774,2700,0,2700
28,538,04597,0,0,215.58,0,215.58,179.83115,38768,0,38768,20097,0,20097,18671,0,18671,18659,0,18659,11528,0,11528,7131,0,7131,10549,0,10549,5478,0,5478,5071,0,5071,4974,0,4974,2610,0,2610,2364,0,2364
28,538,04598,0,0,227.61,0,227.61,153.67953,34979,0,34979,18055,0,18055,16924,0,16924,15046,0,15046,9297,0,9297,5749,0,5749,4735,0,4735,2654,0,2654,2081,0,2081,10245,0,10245,5173,0,5173,5072,0,5072
28,538,04599,0,0,406.75,0,406.75,138.81007,56461,0,56461,28853,0,28853,27608,0,27608,23614,0,23614,14504,0,14504,9110,0,9110,13113,0,13113,6684,0,6684,6429,0,6429,2009,0,2009,1032,0,1032,977,0,977
28,538,04600,0,0,206.71,0,206.71001,217.62856,44986,0,44986,23143,0,23143,21843,0,21843,18874,0,18874,11665,0,11665,7209,0,7209,8957,0,8957,4581,0,4581,4376,0,4376,6184,0,6184,3176,0,3176,3008,0,3008
28,538,04601,0,0,281.26,0,281.26001,214.22882,60254,0,60254,31269,0,31269,28985,0,28985,27426,0,27426,16985,0,16985,10441,0,10441,9659,0,9659,4970,0,4970,4689,0,4689,6340,0,6340,3247,0,3247,3093,0,3093
28,538,04602,0,0,274.58,0,274.57999,250.16389,68690,0,68690,35061,0,35061,33629,0,33629,32986,0,32986,20109,0,20109,12877,0,12877,13538,0,13538,6883,0,6883,6655,0,6655,1959,0,1959,998,0,998,961,0,961
28,538,04603,.55229479,49488,271.27,6.14,277.41,412.34995,51213,63177,114390,26090,31935,58025,25123,31242,56365,20275,39872,60147,12439,22428,34867,7836,17444,25280,8700,6314,15014,4487,3151,7638,4213,3163,7376,419,779,1198,203,464,667,216,315,531
28,538,04604,0,0,237.27,0,237.27,221.59985,52579,0,52579,26593,0,26593,25986,0,25986,18595,0,18595,11810,0,11810,6785,0,6785,9447,0,9447,4913,0,4913,4534,0,4534,1645,0,1645,826,0,826,819,0,819
28,538,04605,0,0,342.79,0,342.79001,212.89127,72977,0,72977,36480,0,36480,36497,0,36497,22494,0,22494,13904,0,13904,8590,0,8590,12797,0,12797,6203,0,6203,6594,0,6594,2006,0,2006,973,0,973,1033,0,1033
28,538,04606,0,0,277.91,0,277.91,306.9447,85303,0,85303,43192,0,43192,42111,0,42111,34009,0,34009,20944,0,20944,13065,0,13065,19552,0,19552,10046,0,10046,9506,0,9506,334,0,334,179,0,179,155,0,155
28,538,04607,0,0,304.09,0,304.09,174.04716,52926,0,52926,27308,0,27308,25618,0,25618,24353,0,24353,15034,0,15034,9319,0,9319,11480,0,11480,6000,0,6000,5480,0,5480,368,0,368,210,0,210,158,0,158
28,538,04608,0,0,404.24,0,404.23999,126.99387,51336,0,51336,26338,0,26338,24998,0,24998,26152,0,26152,15888,0,15888,10264,0,10264,9757,0,9757,4972,0,4972,4785,0,4785,1355,0,1355,676,0,676,679,0,679
28,538,04609,0,0,464.61,0,464.60999,145.68564,67687,0,67687,34863,0,34863,32824,0,32824,33765,0,33765,20351,0,20351,13414,0,13414,12845,0,12845,6664,0,6664,6181,0,6181,5210,0,5210,2767,0,2767,2443,0,2443
28,538,04610,0,0,264.9,0,264.89999,262.15555,69445,0,69445,35293,0,35293,34152,0,34152,31762,0,31762,19448,0,19448,12314,0,12314,17472,0,17472,9071,0,9071,8401,0,8401,399,0,399,200,0,200,199,0,199
28,538,04611,0,0,274.94,0,274.94,187.46999,51543,0,51543,26132,0,26132,25411,0,25411,25129,0,25129,15091,0,15091,10038,0,10038,12642,0,12642,6578,0,6578,6064,0,6064,207,0,207,104,0,104,103,0,103
28,538,04612,0,0,271.21,0,271.20999,165.48801,44882,0,44882,23181,0,23181,21701,0,21701,24028,0,24028,14568,0,14568,9460,0,9460,10120,0,10120,5156,0,5156,4964,0,4964,238,0,238,127,0,127,111,0,111
