lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
14,257,0,0,0,4,1,16,23,0,0,0,2,0,0
14,258,1,7,15,3,0,4,11,0,0,0,0,1,0
14,259,3,19,53,9,1,7,14,0,0,0,0,0,0
14,260,1,7,12,3,0,4,17,0,0,0,0,0,0
14,711,0,0,0,3,0,6,10,0,0,1,1,0,0
14,712,1,9,20,6,0,9,30,0,0,0,0,0,0
14,713,0,0,0,0,1,4,5,0,0,0,0,0,0
14,714,0,0,0,1,1,3,8,0,1,0,0,0,0
14,715,0,0,0,6,1,3,17,2,1,0,1,0,0
14,716,1,5,10,2,0,3,4,0,0,0,0,0,0
14,717,0,0,0,1,1,2,20,0,0,0,0,0,0
15,261,3,15,26,55,12,6,29,2,1,10,3,0,2
15,262,2,12,31,12,4,7,24,4,2,1,0,0,1
15,263,4,17,60,4,0,1,15,1,0,0,1,0,0
15,264,1,1,0,27,6,13,28,2,1,11,1,0,1
15,265,2,5,12,18,2,6,27,4,0,0,0,0,1
15,266,8,6,12,7,1,9,32,1,0,1,0,0,1
15,267,1,11,7,0,2,4,25,2,1,1,1,0,1
15,268,4,12,15,6,2,7,25,4,3,3,4,0,1
15,726,0,0,0,0,1,4,14,11,0,0,3,0,0
15,727,4,0,5,7,3,7,25,5,4,2,2,0,0
15,728,0,0,0,2,0,3,22,2,0,3,0,0,0
16,269,7,31,157,52,2,15,73,12,2,3,27,0,0
16,270,10,43,124,26,1,14,46,9,3,0,0,0,0
16,271,14,44,104,106,4,14,75,21,4,2,9,0,0
16,272,13,389,287,50,2,8,29,9,1,12,1,5,0
16,652,8,23,100,17,2,7,34,9,3,3,5,0,0
16,653,9,20,34,25,3,8,50,5,7,4,7,0,0
16,654,13,69,85,56,2,12,36,17,3,1,1,0,0
16,655,3,26,69,17,1,10,29,6,2,0,4,0,0
17,273,1,25,45,0,1,7,20,8,0,0,8,0,1
17,274,1,63,41,16,4,22,58,26,0,0,26,0,1
17,275,1,25,40,3,3,12,41,15,0,0,15,0,1
17,276,1,17,45,1,3,7,25,10,0,0,10,0,1
17,277,1,25,45,0,0,6,19,6,0,0,6,0,1
17,278,1,40,64,5,5,10,53,15,0,0,15,0,1
17,279,2,50,90,1,2,15,43,17,0,0,17,0,1
17,656,0,0,0,0,0,9,40,9,0,0,9,0,0
17,657,0,0,0,0,2,6,33,8,0,0,8,0,0
17,658,0,0,0,0,2,4,18,6,0,0,6,0,0
17,663,0,0,0,0,1,9,22,10,0,0,10,0,0
18,280,19,67,167,28,5,55,274,13,3,2,63,0,0
18,281,4,51,93,14,0,12,57,8,4,0,10,0,1
18,282,9,37,95,35,5,75,113,24,11,23,93,3,1
18,283,5,32,80,10,2,20,149,7,2,2,208,1,1
18,284,6,17,44,4,2,25,66,10,3,1,5,0,0
18,285,13,85,173,28,4,46,122,27,1,2,59,1,0
18,286,11,135,344,22,8,47,242,4,1,1,22,0,1
18,287,8,45,125,26,1,24,103,2,1,0,39,1,0
18,288,11,50,141,10,5,47,121,20,1,1,18,0,2
18,289,4,41,80,7,4,22,47,4,2,82,59,0,1
18,290,9,100,250,24,3,30,84,3,2,0,8,0,3
18,291,13,42,121,17,7,34,103,14,2,2,53,0,1
18,292,2,8,23,10,0,17,23,1,0,0,1,0,0
18,293,6,58,121,9,2,8,54,2,3,3,49,0,1
18,294,4,20,48,39,3,25,122,11,1,0,12,1,1
18,295,8,36,101,13,6,20,165,6,3,2,22,0,0
18,296,6,35,105,26,5,41,111,4,1,4,46,1,2
18,297,21,130,271,26,6,56,209,26,9,1,131,1,6
18,298,9,47,120,22,8,40,98,3,4,3,31,0,1
18,299,4,35,80,11,0,18,16,3,0,0,23,0,0
18,300,8,34,71,12,1,38,145,5,4,1,21,1,1
18,301,9,92,202,22,8,27,124,11,9,1,36,1,2
18,302,12,97,248,17,2,31,104,9,0,1,21,1,0
18,612,3,7,21,7,2,13,44,3,2,0,16,0,0
18,616,6,9,28,12,8,47,85,10,12,4,38,0,0
18,617,9,26,64,21,3,45,147,18,16,9,68,0,0
18,618,4,17,34,15,1,10,25,2,1,0,8,1,0
18,705,2,17,50,4,0,20,110,1,2,2,11,0,2
18,706,0,0,0,1,2,20,22,1,0,0,4,0,0
18,707,3,8,29,4,1,4,31,3,0,0,36,0,0
18,708,2,3,10,16,0,20,101,1,4,0,13,0,0
18,709,5,37,80,9,3,7,61,1,1,0,31,0,0
18,710,5,40,88,10,3,6,14,1,0,1,3,1,1
19,303,81,432.7999997138977,860,798,26,98,586,137,62,40,73,46,13
19,304,74,119.7410714030266,201,783,48,444,814,270,63,36,27176,16,0
19,305,70,203,400,196,73,137,470,204,79,80,180,5,0
19,306,121,427.4736843109131,1210,563,107,170,595,251,109,74,3900,95,0
19,307,24,83,136,149,36,94,441,112,38,8,62,8,0
19,308,29,147,281,149,35,59,349,149,19,12,41,9,1
19,309,20,105,51,122,13,99,131,28,11,7,16,10,0
19,310,13,113,350,68,21,46,213,134,11,6,37,4,0
19,311,31,177,166,196,7,32,304,93,33,11,70,12,1
19,312,78,292.8333330154419,469,464,297,187,480,191,100,120,129,36,14
19,313,41,788.3360657691956,201,368,23,39,224,63,24,2,58,165,6
19,314,28,103.8529412746429,77,224,11,34,209,92,18,3,24,33,5
19,315,48,0,0,44,0,0,0,0,0,0,0,0,0
19,316,27,109,116,370,6,64,375,314,101,2,173,3,0
19,317,71,189,293,434,91,133,837,440,81,39,295,19,2
19,318,130,198,274,382,87,152,712,212,144,86,169,34,0
19,319,60,416,516,489,44,121,631,152,68,15,133,22,1
19,320,55,359,672,280,57,94,355,134,60,68,91,17,17
19,321,105,104,903,175,72,150,408,251,74,60,169,3,1
19,664,19,50,149,87,12,12,186,40,33,2,18,0,0
19,702,4,2,3,11,3,7,46,9,0,2,3,0,0
19,703,15,26,19,58,19,68,216,97,34,17,40,0,0
19,704,28,81,111,104,6,51,100,42,14,9,62,7,0
20,322,41,355,1532,101,0,20,94,20,6,9,13,17,2
20,323,50,88,128,60,3,71,121,74,55,22,44,1,2
20,324,27,51,102,37,0,45,112,44,6,6,16,2,0
20,325,50,339,222,140,1,42,112,35,11,8,19,71,10
20,326,45,102,194,69,0,70,227,95,16,21,29,3,1
