,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
193130,,,11621,24767,588,33,13143,3019,1417,26369,24767,11700,101,3
193419,,,36058,81932,589,33,45871,11744,6846,86830,81932,23500,130,3
193708,,,8498,19794,590,33,11295,2355,2400,19749,19794,9500,95,1
193997,,,52629,98260,591,33,45626,11763,8493,101530,98260,15400,154,5
194286,,,15155,33668,592,33,18511,4971,4077,34562,33668,11600,84,2
194575,,,19229,39850,593,33,20615,5552,3565,41837,39850,23400,175,6
194864,,,17967,34096,594,33,16127,5094,3706,35484,34096,8600,80,2
195153,,,38529,79463,595,33,40930,12654,18200,73917,79463,10600,106,4
195442,,,34394,66855,596,33,32439,4256,3393,67718,66855,12200,121,22
195731,,,51498,89877,597,33,38362,6892,3441,93328,89877,8800,88,17
196020,,,9075,18092,610,33,9017,3891,1061,20922,18092,7300,73,0
196309,,,30650,65869,634,33,35213,5244,9453,61660,65869,9200,90,6
196598,1.0,,14169,26801,729,33,12631,3619,593,29827,26801,6200,62,1
196887,,,53653,111689,730,33,58029,9589,8760,112518,111689,14000,133,7
197176,,,10718,22846,731,33,12127,1757,968,23635,22846,4000,40,1
197465,,,16265,30341,732,33,14072,2808,1368,31781,30341,5900,58,4
197754,,,17366,30958,733,33,13585,2899,482,33375,30958,8800,69,7
198043,,,2773,6373,598,34,3598,582,0,6955,6373,1100,4,2
198332,,,2376,4487,599,34,2111,876,0,5363,4487,100,1,0
198621,1.0,,30294,63128,600,34,32827,6015,0,69143,63128,4500,25,7
198910,,,767,1960,601,34,1193,324,74,2210,1960,100,1,0
199199,1.0,,4624,12563,602,35,7939,3642,0,16205,12563,700,7,0
199488,,,1116,2231,603,35,1115,410,0,2641,2231,300,3,0
199777,,,1941,3883,632,35,1942,1172,0,5055,3883,200,2,0
200066,,,7536,15585,501,36,8047,3764,2207,17142,15585,3700,31,2
200355,,,138738,300803,507,36,162033,50227,57747,293283,300803,27800,179,32
200644,,,15134,33892,508,36,18757,8827,4407,38312,33892,3800,30,1
200933,,,18206,38179,509,36,19971,9530,7564,40145,38179,3550,34,2
201222,,,11580,23038,512,36,11455,6709,4811,24936,23038,6200,34,3
201511,,,9212,18188,513,36,8974,3393,2536,19045,18188,3600,18,2
201800,,,12065,24500,514,36,12434,7967,3474,28993,24500,3400,30,1
202089,,,16511,35222,516,36,18705,9505,6987,37740,35222,3500,35,6
202378,,,72582,162111,518,36,89508,26376,19712,168775,162111,10400,75,21
202667,,,3910,7101,522,36,3189,3407,968,9540,7101,2501,22,2
202956,,,6109,14066,680,36,7952,4062,2135,15993,14066,3100,26,5
203245,,,9338,19825,681,36,10484,6345,1121,25049,19825,2800,26,3
203534,,,5878,13496,682,36,7616,4112,2330,15278,13496,2400,23,2
203823,,,3768,7605,683,36,3835,1969,765,8809,7605,1600,16,2
204112,,,6160,13761,684,36,7600,5517,2460,16818,13761,3950,31,1
204401,,,25960,48121,685,36,22151,6445,3268,51298,48121,3700,32,10
204690,,,22163,49693,686,36,27529,11367,9530,51530,49693,6600,57,1
204979,,,1947,4711,687,36,2764,2135,1328,5518,4711,1400,14,0
205268,1.0,,8065,15708,688,36,7632,6629,3320,19017,15708,2700,24,11
205557,,,6565,12075,689,36,5510,2755,921,13909,12075,1400,13,0
205846,,,14364,31150,690,36,16781,13448,5961,38637,31150,5700,49,5
206135,,,13757,31622,691,36,17864,7655,10777,28500,31622,6800,35,1
206424,,,13027,26659,692,36,13630,7523,5894,28288,26659,2400,21,2
206713,,,4985,9831,693,36,4845,2931,2621,10141,9831,1600,15,1
207002,,,8508,16646,694,36,8136,3683,4328,16001,16646,2200,22,2
207291,,,4523,9898,695,36,5374,2388,2994,9292,9898,1400,12,1
207580,,,15780,31165,696,36,15375,3933,5249,29849,31165,3500,34,10
207869,,,7670,15646,697,36,7975,3077,2074,16649,15646,1600,16,1
208158,,,6487,12735,698,36,6248,4418,1008,16145,12735,3500,28,0
208447,,,3644,7048,699,36,3401,2855,787,9116,7048,2000,18,3
208736,,,76538,166056,700,36,89497,14796,23276,157576,166056,10900,44,21
209025,,,1804,4279,720,36,2473,2247,1439,5087,4279,1600,12,2
209314,,,3533,6615,721,36,3080,1838,1152,7301,6615,2800,14,2
209603,,,9846,20784,6,37,10936,2451,0,23235,20784,2200,22,2
209892,1.0,,15379,34794,9,37,19414,4185,0,38979,34794,3400,17,1
